source_code,source_text,target_code,target_text
pt-PT,Cluster de {{number}} marcadores,de,Cluster von {{number}} Markierungen
pt-PT,Tem {{ count }} moradas guardadas,de,Sie haben {{ count }} Adressen gespeichert
pt-PT,Sem entrega disponível para %{count} itens,de,Für %{count} Artikel ist keine Lieferung verfügbar
pt-PT,Estes itens serão removidos do seu carrinho porque não há métodos de entrega disponíveis para a morada.,de,"Diese Artikel werden aus Ihrem Warenkorb entfernt, da keine Versandmethoden an die Adresse verfügbar sind."
pt-PT,{{count}} itens,de,{{count}} Artikel
pt-PT,%{delivery_method} já não está disponível para estes itens.,de,%{delivery_method} ist für diese Artikel nicht mehr verfügbar.
pt-PT,O método de entrega selecionado já não está disponível para estes itens.,de,Die ausgewählte Versandart ist für diese Artikel nicht mehr verfügbar.
pt-PT,Mostrar %{count} itens,de,%{count} Artikel anzeigen
pt-PT,Ocultar %{count} itens,de,%{count} Elemente ausblenden
pt-PT,%{count} itens,de,%{count} Artikel
pt-PT,Descontos,de,Rabatte
pt-PT,Descontos de encomenda,de,Bestellen Sie Rabatte
pt-PT,Subtotal · %{count} itens,de,Zwischensumme · %{count} Elemente
pt-PT,%{count} itens,de,%{count} Artikel
pt-PT,Ver todos os %{count} itens,de,Alle %{count} Artikel anzeigen
pt-PT,Os itens não estão disponíveis para recolha na loja,de,Die Artikel können nicht im Geschäft abgeholt werden
pt-PT,%{count} dias úteis,de,%{count} Werktage
pt-PT,%{count} outros métodos disponíveis a partir de,de,%{count} andere Methoden verfügbar von
pt-PT,para %{count} entregas,de,für %{count} Lieferungen
pt-PT,a cada %{count} dias,de,alle %{count} Tage
pt-PT,a cada %{count} semanas,de,alle %{count} Wochen
pt-PT,a cada %{count} meses,de,alle %{count} Monate
pt-PT,a cada %{count} anos,de,alle %{count} Jahre
pt-PT,Primeiras %{count} encomendas gratuitas,de,Die ersten %{count} Bestellungen sind kostenlos
pt-PT,Para as primeiras %{count} encomendas,de,Für die ersten %{count} Bestellungen
pt-PT,Envio gratuito para mais %{count} entregas,de,Kostenloser Versand für weitere %{count} Lieferungen
pt-PT,Envio gratuito para %{count} entregas,de,Kostenloser Versand für %{count} Lieferungen
pt-PT,"Envio gratuito para mais %{count} entregas, posteriormente, %{recurring_order_shipping_price}",de,"Kostenloser Versand für weitere %{count} Lieferungen, später %{recurring_order_shipping_price}"
pt-PT,"Envio gratuito para %{count} entregas, posteriormente, %{recurring_order_shipping_price}",de,Kostenloser Versand für %{count} Lieferungen danach %{recurring_order_shipping_price}
pt-PT,Mais %{count} entregas por %{shipping_price} cada,de,Weitere %{count} Lieferungen für jeweils %{shipping_price}
pt-PT,Mais %{count} entregas por %{shipping_price} cada,de,Weitere %{count} Lieferungen für jeweils %{shipping_price}
pt-PT,"Envio gratuito para o primeiro %{cycle}, seguido de %{recurring_order_shipping_price}",de,"Kostenloser Versand für den ersten %{cycle}, gefolgt von %{recurring_order_shipping_price}"
