source_code,source_text,target_code,target_text
pt-PT,View all,it,Visualizza tutto
pt-PT,Load more,it,Carica di più
pt-PT,Verified buyer,it,Acquirente verificato
pt-PT,Show more,it,Mostra di più
pt-PT,Search,it,Ricerca
pt-PT,Recent searches,it,Ricerche recenti
pt-PT,Popular searches,it,Ricerche popolari
pt-PT,Popular items,it,Articoli popolari
pt-PT,Suggestions,it,Suggerimenti
pt-PT,Products,it,Prodotti
pt-PT,Pages,it,Pagine
pt-PT,Search for “{{ terms }}”,it,"Cerca ""{{ terms }}"""
pt-PT,Your cart is empty,it,Il tuo carrello è vuoto
pt-PT,Continue shopping,it,Continua a fare acquisti
pt-PT,Cart,it,Carrello
pt-PT,Estimated total,it,Totale stimato
pt-PT,Check out,it,Guardare
pt-PT,View cart,it,Visualizza carrello
pt-PT,View product,it,Visualizza il prodotto
pt-PT,On,it,SU
pt-PT,By,it,Di
pt-PT,View more,it,Visualizza altro
pt-PT,Clear all,it,Cancella tutto
pt-PT,To,it,A
pt-PT,Sort by:,it,Ordina per:
pt-PT,{{ product_count }} product found,it,{{ product_count }} prodotto trovato
pt-PT,{{ product_count }} products found,it,{{ product_count }} prodotti trovati
pt-PT,{{ product_count }} product,it,{{ product_count }} prodotto
pt-PT,{{ product_count }} products,it,{{ product_count }} prodotti
pt-PT,Load more,it,Carica di più
pt-PT,Search results,it,Risultati della ricerca
pt-PT,Search,it,Ricerca
pt-PT,"Found {{ count }} result for ""{{ terms }}""",it,"Trovato {{ count }} risultato per ""{{ terms }}"""
pt-PT,"Found {{ count }} results for ""{{ terms }}""",it,"Trovato {{ count }} risultati per ""{{ terms }}"""
pt-PT,Sort by:,it,Ordina per:
pt-PT,No results could be found. Please try again with a different query.,it,Nessun risultato trovato. Riprova con una query diversa.
pt-PT,Blog,it,Blog
pt-PT,Page,it,Pagina
pt-PT,Next,it,Prossimo
pt-PT,Previous,it,Precedente
pt-PT,{{ count }} comment,it,{{ count }} commento
pt-PT,{{ count }} comments,it,{{ count }} commenti
pt-PT,Leave a comment,it,Lascia un commento
pt-PT,Your email address will not be published,it,Il tuo indirizzo email non verrà pubblicato
pt-PT,"Please note, comments need to be approved before they are published.",it,Tieni presente che i commenti devono essere approvati prima di essere pubblicati.
pt-PT,Name,it,Nome
pt-PT,Email,it,E-mail
pt-PT,Message,it,Messaggio
pt-PT,Post comment,it,Pubblica un commento
pt-PT,Error: An issue has occurred!,it,Errore: si è verificato un problema!
pt-PT,Your comment was posted successfully! Thank you!,it,Il tuo commento è stato pubblicato con successo! Grazie!
pt-PT,"Your comment was posted successfully. We will publish it in a little while, as our blog is moderated.",it,"Il tuo commento è stato pubblicato con successo. Lo pubblicheremo tra poco, poiché il nostro blog è moderato."
pt-PT,Subscribe,it,Iscriviti
pt-PT,Copy,it,Copia
pt-PT,Copy Discount,it,Sconto copia
pt-PT,Copied Discount,it,Sconto copiato
pt-PT,Send message,it,Invia messaggio
pt-PT,Name,it,Nome
pt-PT,Message,it,Messaggio
pt-PT,Enter your email,it,Inserisci la tua email
pt-PT,Your email,it,La tua email
pt-PT,{{ field }} is required,it,{{ field }} è obbligatorio
pt-PT,{{ field }} is invalid,it,{{ field }} non è valido
pt-PT,"An error occurred, please check the information and resubmit.",it,"Si è verificato un errore, controlla le informazioni e invia nuovamente."
pt-PT,Thanks for contacting us. We'll get back to you as soon as possible.,it,Grazie per averci contattato. Ti risponderemo il prima possibile.
pt-PT,Thanks for subscribing,it,Grazie per esserti iscritto
pt-PT,Email,it,E-mail
pt-PT,Password,it,Password
pt-PT,Login,it,Login
pt-PT,Forgot your password?,it,Hai dimenticato la password?
pt-PT,Sign in,it,Registrazione
pt-PT,Don't have account?,it,Non hai un account?
pt-PT,Sign up,it,Iscrizione
pt-PT,Reset your password,it,Reimposta la tua password
pt-PT,We will send you an email to reset your password,it,Ti invieremo un'e-mail per reimpostare la password
pt-PT,Submit,it,Invia
pt-PT,We've sent you an email with a link to update your password.,it,Ti abbiamo inviato un'e-mail con un collegamento per aggiornare la tua password.
pt-PT,No account found with that email.,it,Nessun account trovato con quell'e-mail.
pt-PT,First name,it,Nome di battesimo
pt-PT,Last name,it,Cognome
pt-PT,Create account,it,Creare un account
pt-PT,Already has an account?,it,Hai già un account?
pt-PT,Add to cart,it,Aggiungi al carrello
pt-PT,Buy it now,it,Compralo Subito
pt-PT,Quantity,it,Quantità
pt-PT,Product type,it,Tipo di prodotto
pt-PT,Vendor,it,Venditore
pt-PT,Collections,it,Collezioni
pt-PT,Tags,it,Tag
pt-PT,I want to send this as a gift,it,Voglio inviarlo come regalo
pt-PT,200 characters max,it,200 caratteri massimo
pt-PT,Send on(optional),it,Invia (facoltativo)
pt-PT,in cart,it,nel carrello
pt-PT,{{ cart_qty }} in cart,it,{{ cart_qty }} nel carrello
pt-PT,All,it,Tutto
pt-PT,item is already added to cart!,it,l'articolo è già aggiunto al carrello!
pt-PT,items are already added to cart!,it,gli articoli sono già aggiunti al carrello!
pt-PT,item is in cart!,it,l'articolo è nel carrello!
pt-PT,items are in cart!,it,gli articoli sono nel carrello!
pt-PT,You can't add more,it,Non puoi aggiungere altro
pt-PT,to the cart,it,al carrello
pt-PT,Cart added,it,Carrello aggiunto
pt-PT,Add cart failed,it,Aggiunta del carrello non riuscita
pt-PT,Sold out,it,Esaurito
pt-PT,Sale {{ sale_percent }},it,Saldi {{ sale_percent }}
pt-PT,Sale,it,Vendita
pt-PT,No products,it,Nessun prodotto
pt-PT,From {{ price }},it,A partire da {{ price }}
pt-PT,Unit price,it,Prezzo unitario
pt-PT,per,it,per
pt-PT,Select options,it,Seleziona le opzioni
pt-PT,Total price,it,Prezzo totale
pt-PT,Add (<span class='item-bunble-selected'></span>) items to cart,it,Aggiungi (<span class='item-bunble-selected'></span>) articoli al carrello
pt-PT,Add all items to cart,it,Aggiungi tutti gli articoli al carrello
pt-PT,This item,it,Questo articolo
pt-PT,In stock,it,In magazzino
pt-PT,Low stock,it,Scorte basse
pt-PT,left,it,Sinistra
pt-PT,Low stock {{ quantity }} left,it,Stock rimanente di {{ quantity }} in esaurimento
pt-PT,Out of stock,it,Esaurito
pt-PT,Product link,it,Collegamento del prodotto
pt-PT,Name,it,Nome
pt-PT,Email,it,E-mail
