source_code,source_text,target_code,target_text
pt-PT,View all,fr,Voir tout
pt-PT,Load more,fr,Charger plus
pt-PT,Verified buyer,fr,Acheteur vérifié
pt-PT,Show more,fr,Afficher plus
pt-PT,Search,fr,Recherche
pt-PT,Recent searches,fr,Recherches récentes
pt-PT,Popular searches,fr,Recherches populaires
pt-PT,Popular items,fr,Articles populaires
pt-PT,Suggestions,fr,Suggestions
pt-PT,Products,fr,Produits
pt-PT,Pages,fr,Pages
pt-PT,Search for “{{ terms }}”,fr,"Recherchez ""{{ terms }}"""
pt-PT,Your cart is empty,fr,Votre panier est vide
pt-PT,Continue shopping,fr,Continuez vos achats
pt-PT,Cart,fr,Carte
pt-PT,Estimated total,fr,Total estimé
pt-PT,Check out,fr,Vérifier
pt-PT,View cart,fr,Afficher le graphique
pt-PT,View product,fr,Voir le produit
pt-PT,On,fr,Sur
pt-PT,By,fr,Par
pt-PT,View more,fr,Voir plus
pt-PT,Clear all,fr,Tout effacer
pt-PT,To,fr,À
pt-PT,Sort by:,fr,Trier par:
pt-PT,{{ product_count }} product found,fr,{{ product_count }} produit trouvé
pt-PT,{{ product_count }} products found,fr,{{ product_count }} produits trouvés
pt-PT,{{ product_count }} product,fr,{{ product_count }} produit
pt-PT,{{ product_count }} products,fr,{{ product_count }} produits
pt-PT,Load more,fr,Charger plus
pt-PT,Search results,fr,Résultats de la recherche
pt-PT,Search,fr,Recherche
pt-PT,"Found {{ count }} result for ""{{ terms }}""",fr,"{{ count }} résultat trouvé pour ""{{ terms }}"""
pt-PT,"Found {{ count }} results for ""{{ terms }}""",fr,"{{ count }} résultats trouvés pour ""{{ terms }}"""
pt-PT,Sort by:,fr,Trier par:
pt-PT,No results could be found. Please try again with a different query.,fr,Aucun résultat n'a pu être trouvé. Veuillez réessayer avec une requête différente.
pt-PT,Blog,fr,Blogue
pt-PT,Page,fr,Page
pt-PT,Next,fr,Suivant
pt-PT,Previous,fr,Précédent
pt-PT,{{ count }} comment,fr,{{ count }} commentaire
pt-PT,{{ count }} comments,fr,{{ count }} commentaires
pt-PT,Leave a comment,fr,Laisser un commentaire
pt-PT,Your email address will not be published,fr,Votre adresse email ne sera pas publiée
pt-PT,"Please note, comments need to be approved before they are published.",fr,Veuillez noter que les commentaires doivent être approuvés avant d'être publiés.
pt-PT,Name,fr,Nom
pt-PT,Email,fr,E-mail
pt-PT,Message,fr,Message
pt-PT,Post comment,fr,Publier un commentaire
pt-PT,Error: An issue has occurred!,fr,Erreur : Un problème est survenu !
pt-PT,Your comment was posted successfully! Thank you!,fr,Votre commentaire a été posté avec succès ! Merci!
pt-PT,"Your comment was posted successfully. We will publish it in a little while, as our blog is moderated.",fr,"Votre commentaire a été publié avec succès. Nous le publierons dans peu de temps, car notre blog est modéré."
pt-PT,Subscribe,fr,S'abonner
pt-PT,Copy,fr,Copie
pt-PT,Copy Discount,fr,Remise de copie
pt-PT,Copied Discount,fr,Remise copiée
pt-PT,Send message,fr,Envoyer un message
pt-PT,Name,fr,Nom
pt-PT,Message,fr,Message
pt-PT,Enter your email,fr,Entrez votre email
pt-PT,Your email,fr,Votre email
pt-PT,{{ field }} is required,fr,{{ field }} est obligatoire
pt-PT,{{ field }} is invalid,fr,{{ field }} n'est pas valide
pt-PT,"An error occurred, please check the information and resubmit.",fr,"Une erreur s'est produite, veuillez vérifier les informations et soumettre à nouveau."
pt-PT,Thanks for contacting us. We'll get back to you as soon as possible.,fr,Merci de nous avoir contactés. Nous vous répondrons dans les plus brefs délais.
pt-PT,Thanks for subscribing,fr,Merci de vous être abonné
pt-PT,Email,fr,E-mail
pt-PT,Password,fr,Mot de passe
pt-PT,Login,fr,Se connecter
pt-PT,Forgot your password?,fr,Vous avez oublié votre mot de passe ?
pt-PT,Sign in,fr,Se connecter
pt-PT,Don't have account?,fr,Vous n'avez pas de compte ?
pt-PT,Sign up,fr,S'inscrire
pt-PT,Reset your password,fr,Réinitialisez votre mot de passe
pt-PT,We will send you an email to reset your password,fr,Nous vous enverrons un email pour réinitialiser votre mot de passe
pt-PT,Submit,fr,Soumettre
pt-PT,We've sent you an email with a link to update your password.,fr,Nous vous avons envoyé un e-mail avec un lien pour mettre à jour votre mot de passe.
pt-PT,No account found with that email.,fr,Aucun compte trouvé avec cet email.
pt-PT,First name,fr,Prénom
pt-PT,Last name,fr,Nom de famille
pt-PT,Create account,fr,Créer un compte
pt-PT,Already has an account?,fr,Vous avez déjà un compte ?
pt-PT,Add to cart,fr,Ajouter au panier
pt-PT,Buy it now,fr,Achetez-le maintenant
pt-PT,Quantity,fr,Quantité
pt-PT,Product type,fr,Type de produit
pt-PT,Vendor,fr,Fournisseur
pt-PT,Collections,fr,Collections
pt-PT,Tags,fr,Balises
pt-PT,I want to send this as a gift,fr,Je veux l'envoyer en cadeau
pt-PT,200 characters max,fr,200 caractères maximum
pt-PT,Send on(optional),fr,Envoyer (facultatif)
pt-PT,in cart,fr,dans le panier
pt-PT,{{ cart_qty }} in cart,fr,{{ cart_qty }} dans le panier
pt-PT,All,fr,Tous
pt-PT,item is already added to cart!,fr,l'article est déjà ajouté au panier !
pt-PT,items are already added to cart!,fr,les articles sont déjà ajoutés au panier !
pt-PT,item is in cart!,fr,l'article est dans le panier !
pt-PT,items are in cart!,fr,les articles sont dans le panier !
pt-PT,You can't add more,fr,Vous ne pouvez pas en ajouter davantage
pt-PT,to the cart,fr,à la carte
pt-PT,Cart added,fr,Panier ajouté
pt-PT,Add cart failed,fr,L'ajout de la carte a échoué
pt-PT,Sold out,fr,Épuisé
pt-PT,Sale {{ sale_percent }},fr,Vente {{ sale_percent }}
pt-PT,Sale,fr,Vente
pt-PT,No products,fr,Aucun produit
pt-PT,From {{ price }},fr,À partir de {{ price }}
pt-PT,Unit price,fr,Prix ​​unitaire
