source_code,source_text,target_code,target_text
en,<p></p>,zh-CN,<p></p>
en,Share,zh-CN,分享
en,Browse our latest products,zh-CN,浏览我们的最新产品
en,Shop all,zh-CN,选购全部
en,Featured products,zh-CN,特色产品
en,Collections,zh-CN,系列
en,Opening soon,zh-CN,即将开业
en,<p>Be the first to know when we launch.</p>,zh-CN,<p>成为第一个知道我们何时推出的人。</p>
en,{{ product.vendor }},zh-CN,{{ product.vendor }}
en,Share,zh-CN,分享
en,You may also like,zh-CN,您可能还喜欢
en,Review Box,zh-CN,评论框
en,Subscribe to our emails,zh-CN,订阅我们的电子邮件
en,Welcome to our store,zh-CN,欢迎来到我们的商店
en,"55,20,20,20",zh-CN,"55,20,20,20"
en,50px,zh-CN,50px
en,auto,zh-CN,auto
en,auto,zh-CN,auto
en,80px,zh-CN,80px
en,Share,zh-CN,分享
en,Browse our latest products,zh-CN,浏览我们的最新产品
en,Shop all,zh-CN,选购全部
en,Featured products,zh-CN,特色产品
en,Collections,zh-CN,系列
en,Opening soon,zh-CN,即将开业
en,<p>Be the first to know when we launch.</p>,zh-CN,<p>成为第一个知道我们何时推出的人。</p>
en,{{ product.vendor }},zh-CN,{{ product.vendor }}
en,Share,zh-CN,分享
en,You may also like,zh-CN,您可能还喜欢
en,Review Box,zh-CN,评论框
en,Subscribe to our emails,zh-CN,订阅我们的电子邮件
en,Welcome to our store,zh-CN,欢迎来到我们的商店
en,<p></p>,zh-CN,<p></p>
en,Main menu,zh-CN,主菜单
en,Footer menu,zh-CN,页脚菜单
en,Customer account main menu,zh-CN,客户帐户主菜单
en,Home,zh-CN,主页
en,Catalog,zh-CN,目录
en,Contact,zh-CN,联系
en,Search,zh-CN,搜索
en,Shop,zh-CN,店铺
en,Orders,zh-CN,订单
en,Do not sell or share my personal information,zh-CN,请勿出售或分享我的个人信息
en,Home,zh-CN,主页
